Age,Gender,Education Level,Job Title,Years of Experience,Salary
18.0,Male,Bachelor's,Junior Accountant,18.0,141200.0
31.0,Male,Bachelor's,Junior Project Manager,4.0,60000.0
22.0,Female,Bachelor's,Sales Associate,18.0,162100.0
19.0,Female,Bachelor's,Senior Product Designer,18.0,149300.0
18.0,Male,Bachelor's,Senior HR Specialist,18.0,144100.0
18.0,Female,Bachelor's,Senior Operations Coordinator,18.0,141900.0
23.0,Female,Bachelor's,Customer Service Rep,18.0,158900.0
31.0,Male,Master's,Senior Financial Analyst,6.0,95000.0
34.0,Female,Master's,Business Analyst,5.0,80000.0
39.0,Male,Master's,Social Media Manager,18.0,231000.0
33.0,Male,Master's,Event Coordinator,18.0,207900.0
40.0,Female,Bachelor's,HR Generalist,15.0,80000.0
44.0,Female,Master's,Director of Business Development,18.0,245700.0
21.0,Female,Bachelor's,Sales Representative,18.0,155500.0
56.0,Male,PhD,Director of Operations,33.0,362700.0
49.0,Male,PhD,Chief Technology Officer,19.0,279900.0
40.0,Male,Master's,Junior Marketing Analyst,18.0,239400.0
50.0,Male,Bachelor's,CEO,25.0,250000.0
35.0,Female,Master's,Director of Operations,18.0,216700.0
34.0,Male,Master's,Junior Developer,18.0,213900.0
45.0,Male,PhD,Junior HR Generalist,19.0,262600.0
42.0,Female,Bachelor's,Sales Manager,17.0,100000.0
35.0,Female,Master's,Director of Human Resources,18.0,218100.0
30.0,Male,Bachelor's,Senior Product Development Manager,18.0,192400.0
31.0,Female,Bachelor's,Accountant,4.0,55000.0
36.0,Male,Master's,Senior Software Developer,18.0,220700.0
37.0,Male,Master's,Junior Project Manager,18.0,228800.0
39.0,Male,Master's,Senior Project Coordinator,18.0,229900.0
45.0,Female,PhD,Senior Product Designer,15.0,150000.0
18.0,Female,Bachelor's,Junior Marketing Coordinator,21.0,159500.0
31.0,Male,Bachelor's,Director of Finance,18.0,197700.0
38.0,Male,Master's,Senior Researcher,18.0,229200.0
46.0,Male,PhD,Senior Researcher,18.0,150000.0
32.0,Male,Bachelor's,Software Engineer,5.0,90000.0
18.0,Male,Bachelor's,Technical Writer,18.0,139300.0
21.0,Female,Bachelor's,Senior Financial Manager,18.0,161000.0
39.0,Male,Master's,Senior Project Coordinator,18.0,233200.0
44.0,Male,Bachelor's,Senior Software Engineer,13.0,130000.0
43.0,Male,PhD,Data Entry Clerk,18.0,253300.0
31.0,Female,Bachelor's,Senior Software Developer,18.0,196300.0
29.0,Female,Bachelor's,Graphic Designer,3.0,50000.0
37.0,Female,Master's,Senior Business Analyst,18.0,222300.0
18.0,Male,Bachelor's,Senior Marketing Specialist,18.0,146900.0
49.0,Female,PhD,Senior IT Consultant,19.0,280900.0
29.0,Male,Bachelor's,Marketing Analyst,3.0,50000.0
42.0,Female,Master's,Senior Operations Manager,18.0,248400.0
48.0,Male,PhD,Junior Business Analyst,18.0,280700.0
63.0,Male,PhD,Senior Product Designer,36.0,406300.0
46.0,Male,PhD,Senior Data Analyst,17.0,160000.0
56.0,Male,PhD,Senior Financial Advisor,30.0,348500.0
21.0,Male,Bachelor's,Junior Business Analyst,18.0,162400.0
50.0,Female,PhD,Junior Research Scientist,20.0,285800.0
50.0,Male,PhD,Junior Business Development Associate,21.0,289800.0
53.0,Female,PhD,Senior Operations Analyst,26.0,324800.0
59.0,Female,PhD,Senior Business Analyst,30.0,362100.0
25.0,Male,Bachelor's,Senior Product Designer,18.0,169400.0
27.0,Male,Bachelor's,Junior Sales Representative,18.0,176100.0
30.0,Female,Bachelor's,Junior Software Developer,18.0,197500.0
53.0,Female,PhD,Senior Marketing Specialist,23.0,314600.0
54.0,Female,PhD,Senior Product Manager,23.0,318900.0
37.0,Female,Master's,Senior Marketing Analyst,9.0,95000.0
23.0,Female,Bachelor's,Senior Marketing Analyst,18.0,169200.0
44.0,Female,PhD,Senior Data Engineer,16.0,160000.0
34.0,Male,Master's,Senior Software Developer,8.0,105000.0
31.0,Male,Master's,Director of Marketing,18.0,198600.0
18.0,Male,Bachelor's,Junior Business Development Associate,18.0,138900.0
18.0,Female,Bachelor's,Junior Financial Analyst,18.0,144700.0
42.0,Female,PhD,Junior Financial Analyst,18.0,252400.0
49.0,Female,PhD,Senior Sales Manager,19.0,278200.0
27.0,Female,Master's,Junior UX Designer,1.5,45000.0
23.0,Male,Bachelor's,Senior Manager,18.0,160400.0
36.0,Female,Master's,UX Researcher,18.0,227600.0
42.0,Female,Master's,Technical Recruiter,18.0,247700.0
45.0,Male,PhD,Junior Developer,18.0,262700.0
35.0,Male,Master's,Senior Marketing Specialist,18.0,223000.0
18.0,Male,Bachelor's,Senior Product Designer,18.0,141400.0
20.0,Male,Bachelor's,Junior Customer Support Specialist,18.0,154700.0
27.0,Male,Bachelor's,Junior HR Generalist,18.0,181100.0
46.0,Male,PhD,Senior Scientist,21.0,276700.0
33.0,Female,Master's,Senior Financial Analyst,6.0,95000.0
43.0,Male,Master's,Senior Business Analyst,18.0,250300.0
38.0,Male,Master's,Junior Sales Representative,18.0,232500.0
26.0,Male,Bachelor's,Senior Data Engineer,18.0,175300.0
56.0,Female,PhD,Senior Data Scientist,23.0,325000.0
38.0,Female,Master's,Junior Business Development Associate,18.0,232600.0
54.0,Female,PhD,Junior Business Operations Analyst,22.0,306900.0
35.0,Male,Master's,Director of Operations,18.0,219200.0
19.0,Female,Bachelor's,Junior Social Media Manager,18.0,146700.0
48.0,Female,PhD,Senior Business Analyst,22.0,290400.0
32.0,Female,Bachelor's,Junior Financial Analyst,5.0,50000.0
26.0,Female,Bachelor's,Senior HR Generalist,18.0,178100.0
24.0,Female,Bachelor's,Junior Marketing Specialist,18.0,165800.0
37.0,Male,Bachelor's,Senior Business Development Manager,10.0,120000.0
65.0,Male,PhD,Junior Operations Analyst,41.0,426900.0
35.0,Female,Master's,HR Generalist,18.0,218700.0
46.0,Female,PhD,Senior Human Resources Manager,21.0,273800.0
38.0,Male,Master's,Senior IT Consultant,9.0,110000.0
30.0,Female,Bachelor's,Senior Accountant,18.0,195600.0
44.0,Male,PhD,Senior Data Scientist,16.0,160000.0
18.0,Male,Bachelor's,Principal Engineer,18.0,144400.0
35.0,Male,Bachelor's,Senior Project Coordinator,9.0,95000.0
44.0,Female,PhD,Senior Business Analyst,15.0,150000.0
21.0,Female,Bachelor's,Senior Financial Advisor,18.0,155500.0
50.0,Female,PhD,Senior Marketing Analyst,23.0,297200.0
38.0,Female,Master's,Junior Marketing Manager,18.0,233100.0
49.0,Male,PhD,Senior Product Manager,25.0,303000.0
18.0,Male,Bachelor's,Senior Data Engineer,18.0,141300.0
25.0,Male,Bachelor's,Senior Operations Coordinator,18.0,176100.0
18.0,Male,Bachelor's,Senior Operations Analyst,19.0,149400.0
39.0,Female,Master's,Software Project Manager,18.0,233300.0
46.0,Male,PhD,Software Developer,18.0,273200.0
32.0,Male,Master's,IT Manager,18.0,204900.0
42.0,Male,Master's,Senior Product Designer,18.0,244100.0
48.0,Male,PhD,Senior Financial Analyst,21.0,285200.0
42.0,Male,PhD,Senior Sales Representative,20.0,255900.0
61.0,Male,PhD,Recruiter,32.0,381600.0
55.0,Male,PhD,Senior Accountant,28.0,332200.0
32.0,Male,Master's,Sales Manager,18.0,207500.0
65.0,Male,PhD,Junior Copywriter,32.0,393700.0
44.0,Male,PhD,Senior Marketing Analyst,18.0,253100.0
27.0,Male,Bachelor's,Human Resources Director,18.0,180300.0
51.0,Female,PhD,Social Media Specialist,28.0,325000.0
27.0,Female,Bachelor's,Research Scientist,18.0,181200.0
65.0,Female,PhD,Junior Marketing Coordinator,43.0,440900.0
19.0,Female,Bachelor's,Research Scientist,18.0,151100.0
35.0,Female,Master's,Junior HR Coordinator,18.0,217300.0
22.0,Male,Bachelor's,Junior Business Development Associate,18.0,163700.0
18.0,Female,Bachelor's,Junior Web Developer,18.0,141600.0
27.0,Male,Bachelor's,Junior Sales Representative,1.0,35000.0
34.0,Female,Master's,Senior Project Manager,18.0,215400.0
46.0,Female,PhD,Senior HR Generalist,18.0,262400.0
35.0,Female,Master's,Junior Marketing Coordinator,18.0,219700.0
39.0,Male,Master's,Senior Software Engineer,18.0,236800.0
62.0,Male,PhD,Senior Business Analyst,31.0,384100.0
44.0,Male,Bachelor's,Operations Manager,16.0,125000.0
47.0,Female,PhD,Content Marketing Manager,18.0,268200.0
42.0,Female,PhD,Sales Manager,19.0,256800.0
36.0,Female,Master's,Senior Data Analyst,18.0,220100.0
26.0,Male,Bachelor's,Senior HR Manager,18.0,178500.0
47.0,Male,PhD,Director of Marketing,21.0,277900.0
19.0,Male,Bachelor's,IT Support,18.0,148600.0
50.0,Female,Master's,Director of Operations,21.0,160000.0
28.0,Female,Bachelor's,Director of Operations,18.0,191600.0
39.0,Male,Master's,Customer Service Manager,18.0,229600.0
48.0,Male,PhD,IT Support,20.0,279400.0
18.0,Male,Bachelor's,Director of Sales,18.0,139600.0
48.0,Female,PhD,Software Engineer,19.0,275600.0
47.0,Male,Master's,Director of Operations,20.0,170000.0
47.0,Female,PhD,Operations Director,20.0,279000.0
35.0,Female,Master's,HR Manager,18.0,220800.0
41.0,Female,Bachelor's,Senior Marketing Coordinator,11.0,90000.0
35.0,Male,Master's,Junior Business Development Associate,18.0,224800.0
35.0,Male,Master's,Junior Financial Analyst,18.0,216800.0
57.0,Male,PhD,Senior IT Consultant,28.0,352700.0
39.0,Female,Master's,Senior Marketing Coordinator,18.0,228200.0
46.0,Male,Master's,Senior Project Manager,19.0,140000.0
59.0,Female,PhD,Customer Success Manager,26.0,350300.0
35.0,Male,Bachelor's,Senior Operations Analyst,8.0,85000.0
32.0,Female,Master's,Senior Project Coordinator,18.0,203400.0
22.0,Female,Bachelor's,Senior Product Manager,18.0,164900.0
34.0,Male,Master's,Junior Operations Manager,18.0,213300.0
48.0,Male,PhD,Senior Product Manager,18.0,277500.0
29.0,Male,Bachelor's,Junior Business Analyst,18.0,187200.0
56.0,Male,PhD,Junior Marketing Analyst,29.0,344200.0
44.0,Male,PhD,Event Coordinator,18.0,251100.0
18.0,Female,Bachelor's,Marketing Analyst,18.0,142500.0
34.0,Female,Master's,Senior Financial Advisor,6.0,80000.0
31.0,Female,Master's,Chief Technology Officer,18.0,205900.0
41.0,Male,Master's,Senior Business Development Manager,18.0,239900.0
35.0,Female,Bachelor's,HR Generalist,7.0,60000.0
49.0,Male,PhD,Director of HR,19.0,273400.0
33.0,Female,Master's,Junior Financial Analyst,18.0,213700.0
18.0,Male,Bachelor's,Senior Software Engineer,18.0,140100.0
21.0,Female,Bachelor's,Senior Data Scientist,18.0,160500.0
61.0,Male,PhD,Software Manager,34.0,386400.0
27.0,Male,Bachelor's,Senior Product Development Manager,18.0,180700.0
40.0,Female,Master's,Senior Financial Analyst,18.0,240000.0
45.0,Male,PhD,Senior Product Manager,18.0,261500.0
46.0,Female,PhD,Junior HR Generalist,18.0,262300.0
37.0,Male,Master's,Junior Business Analyst,18.0,226400.0
34.0,Male,Master's,Junior Business Development Associate,18.0,215600.0
40.0,Female,Master's,Senior Data Engineer,18.0,235800.0
42.0,Female,Master's,Junior Marketing Analyst,18.0,243200.0
33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0
38.0,Male,Master's,Senior Marketing Analyst,18.0,234400.0
33.0,Male,Master's,Operations Director,18.0,210500.0
62.0,Male,PhD,Junior Account Manager,27.0,371100.0
39.0,Female,Master's,Senior Operations Coordinator,18.0,238100.0
48.0,Male,PhD,Junior Customer Support Specialist,18.0,270200.0
43.0,Male,PhD,Director of Operations,18.0,254300.0
60.0,Male,PhD,Senior Financial Manager,35.0,384400.0
65.0,Female,PhD,Junior Project Manager,44.0,442300.0
38.0,Female,Master's,UX Researcher,18.0,228200.0
26.0,Male,Bachelor's,Senior HR Generalist,18.0,180600.0
18.0,Male,Bachelor's,Data Analyst,18.0,144500.0
48.0,Male,Master's,Director of Product Management,21.0,175000.0
47.0,Female,PhD,Web Developer,21.0,279800.0
37.0,Male,Master's,Senior Manager,18.0,228200.0
18.0,Female,Bachelor's,Senior Financial Analyst,18.0,146300.0
38.0,Female,Bachelor's,Senior Project Manager,9.0,120000.0
22.0,Female,Bachelor's,Junior Accountant,18.0,161800.0
37.0,Male,Master's,Junior HR Generalist,18.0,225200.0
49.0,Female,Master's,Senior Financial Analyst,18.0,150000.0
31.0,Female,Bachelor's,Junior Marketing Coordinator,3.0,50000.0
45.0,Female,PhD,Senior UX Designer,16.0,160000.0
24.0,Male,Bachelor's,Senior Operations Coordinator,18.0,165600.0
57.0,Female,PhD,Junior Operations Analyst,27.0,347400.0
56.0,Male,PhD,Junior Business Analyst,30.0,352100.0
49.0,Male,PhD,Junior Marketing Specialist,21.0,289200.0
36.0,Female,Master's,Director of HR,18.0,225300.0
29.0,Female,Bachelor's,Junior Recruiter,3.0,45000.0
28.0,Female,Bachelor's,Director of Engineering,18.0,187600.0
50.0,Female,Bachelor's,Operations Manager,22.0,160000.0
39.0,Female,Master's,Junior Marketing Specialist,18.0,231000.0
57.0,Female,PhD,IT Support,22.0,331200.0
53.0,Female,PhD,Director of Operations,22.0,307700.0
36.0,Female,Master's,Senior Product Manager,18.0,223800.0
34.0,Male,Master's,Senior Software Engineer,9.0,105000.0
53.0,Male,PhD,Junior Marketing Coordinator,22.0,305700.0
56.0,Male,PhD,Senior Project Manager,25.0,332500.0
40.0,Male,Master's,CEO,18.0,239700.0
43.0,Male,Bachelor's,Senior IT Project Manager,14.0,130000.0
49.0,Male,PhD,Junior Business Analyst,20.0,283900.0
38.0,Female,Master's,Digital Marketing Manager,10.0,90000.0
49.0,Female,PhD,Digital Content Producer,18.0,275500.0
25.0,Male,Bachelor's,Junior Project Manager,18.0,170600.0
45.0,Male,PhD,Product Marketing Manager,18.0,256300.0
34.0,Female,Master's,Financial Advisor,10.0,95000.0
18.0,Male,Bachelor's,Senior Human Resources Specialist,18.0,151600.0
40.0,Male,Master's,Senior Product Manager,18.0,235600.0
56.0,Male,PhD,Senior Marketing Analyst,33.0,362900.0
40.0,Female,Bachelor's,Senior Account Manager,14.0,110000.0
41.0,Female,Master's,Junior Business Operations Analyst,18.0,243500.0
24.0,Male,Bachelor's,Director of Marketing,18.0,170500.0
29.0,Male,Bachelor's,Junior Marketing Coordinator,2.0,40000.0
26.0,Male,Bachelor's,Senior Manager,18.0,178800.0
38.0,Male,PhD,Senior Scientist,11.0,120000.0
55.0,Female,PhD,Senior Product Designer,28.0,336700.0
52.0,Male,PhD,Web Developer,23.0,308300.0
26.0,Male,Bachelor's,Junior Software Developer,1.0,35000.0
31.0,Male,Master's,Senior HR Manager,18.0,206600.0
34.0,Male,Bachelor's,Senior Quality Assurance Analyst,9.0,100000.0
29.0,Female,Bachelor's,Senior Quality Assurance Analyst,18.0,197400.0
43.0,Male,Bachelor's,Senior Project Manager,16.0,140000.0
50.0,Male,PhD,Senior Software Engineer,22.0,290600.0
29.0,Female,Bachelor's,Junior Business Development Associate,1.5,35000.0
38.0,Male,Master's,Senior Software Engineer,18.0,233000.0
32.0,Female,Master's,Junior Operations Analyst,18.0,205400.0
37.0,Male,Master's,Junior Business Analyst,18.0,225200.0
36.0,Female,Bachelor's,Senior Marketing Manager,8.0,95000.0
65.0,Male,PhD,Junior Financial Analyst,37.0,419900.0
27.0,Male,Bachelor's,Senior Operations Manager,18.0,182100.0
30.0,Female,Master's,Data Analyst,18.0,199500.0
54.0,Female,PhD,Senior Account Executive,23.0,319200.0
33.0,Female,Master's,Customer Service Representative,18.0,209000.0
54.0,Male,PhD,Senior Data Scientist,29.0,342800.0
65.0,Male,PhD,Research Director,38.0,425300.0
44.0,Female,PhD,Senior Marketing Coordinator,18.0,255500.0
25.0,Male,Bachelor's,Director of Finance,18.0,178000.0
29.0,Female,Bachelor's,Social Media Specialist,18.0,187900.0
46.0,Male,PhD,UX Designer,18.0,259600.0
24.0,Female,Bachelor's,Senior Data Scientist,18.0,166800.0
18.0,Female,Bachelor's,Technical Writer,18.0,140600.0
29.0,Female,Bachelor's,Recruiter,18.0,192500.0
37.0,Female,Master's,Director of Human Resources,18.0,221200.0
18.0,Male,Bachelor's,Senior Project Manager,18.0,149400.0
32.0,Male,Master's,Junior Project Manager,18.0,207400.0
50.0,Male,PhD,Junior Business Development Associate,22.0,293600.0
25.0,Female,Bachelor's,Senior Business Development Manager,18.0,176200.0
20.0,Female,Bachelor's,Digital Content Producer,18.0,151300.0
24.0,Male,Bachelor's,Junior Operations Analyst,18.0,169800.0
28.0,Male,Bachelor's,Data Entry Clerk,18.0,191900.0
27.0,Female,Bachelor's,Junior HR Generalist,18.0,179100.0
20.0,Male,Bachelor's,Senior Marketing Manager,18.0,149200.0
48.0,Male,PhD,Junior Financial Advisor,19.0,279100.0
39.0,Female,Master's,Junior Marketing Coordinator,18.0,231100.0
22.0,Male,Bachelor's,Junior Financial Analyst,18.0,164700.0
43.0,Male,PhD,Senior Data Scientist,18.0,251800.0
30.0,Male,Bachelor's,Senior Marketing Manager,18.0,190700.0
38.0,Female,Master's,Senior HR Manager,18.0,226700.0
18.0,Male,Bachelor's,Financial Analyst,18.0,145700.0
47.0,Male,PhD,Principal Engineer,18.0,267600.0
50.0,Male,PhD,Senior Software Engineer,24.0,306400.0
37.0,Male,Master's,Marketing Analyst,18.0,228500.0
19.0,Female,Bachelor's,Senior Marketing Analyst,18.0,153500.0
48.0,Female,PhD,Junior Data Analyst,18.0,268600.0
58.0,Male,PhD,Recruiter,31.0,363700.0
,,,,,
18.0,Male,Bachelor's,Senior Operations Analyst,18.0,152000.0
52.0,Female,PhD,Junior Financial Analyst,24.0,303900.0
45.0,Female,PhD,Chief Technology Officer,18.0,265400.0
43.0,Male,PhD,Junior HR Generalist,20.0,256900.0
44.0,Female,PhD,Junior Sales Representative,18.0,257700.0
23.0,Female,Bachelor's,Junior Business Development Associate,18.0,173200.0
31.0,Female,Master's,Accountant,18.0,204800.0
41.0,Female,Master's,Director of Marketing,18.0,244900.0
29.0,Male,Bachelor's,Director of Marketing,18.0,196300.0
26.0,Male,Bachelor's,Marketing Manager,18.0,178000.0
35.0,Male,Master's,Senior Data Analyst,18.0,213800.0
26.0,Male,Bachelor's,Junior Financial Analyst,18.0,182300.0
58.0,Female,PhD,Senior Training Specialist,23.0,337000.0
18.0,Male,Bachelor's,Junior Business Analyst,18.0,145800.0
40.0,Female,Bachelor's,Office Manager,15.0,65000.0
58.0,Female,PhD,Junior Financial Analyst,25.0,339000.0
28.0,Female,Bachelor's,Junior Software Developer,18.0,187000.0
40.0,Male,Master's,Senior Marketing Specialist,18.0,239600.0
61.0,Male,PhD,Junior Marketing Analyst,29.0,367300.0
41.0,Female,Master's,Senior Marketing Manager,18.0,245900.0
21.0,Male,Bachelor's,Senior HR Generalist,18.0,164000.0
45.0,Female,PhD,Director of Operations,18.0,267100.0
18.0,Male,Bachelor's,Senior Marketing Analyst,18.0,139500.0
41.0,Female,Master's,Data Scientist,18.0,249600.0
19.0,Female,Bachelor's,Social Media Manager,18.0,147900.0
28.0,Female,Bachelor's,Technical Support Specialist,18.0,186000.0
41.0,Male,Master's,Junior Financial Analyst,18.0,245800.0
40.0,Female,Master's,Operations Manager,18.0,243300.0
24.0,Female,Bachelor's,Event Coordinator,18.0,170200.0
18.0,Male,Bachelor's,Senior Software Architect,18.0,146200.0
46.0,Male,PhD,Senior Product Designer,19.0,270000.0
36.0,Male,Master's,Senior Business Development Manager,11.0,120000.0
43.0,Male,Master's,Director of Marketing,18.0,247700.0
34.0,Female,Master's,Junior Business Operations Analyst,18.0,214700.0
44.0,Female,Master's,Senior HR Specialist,15.0,140000.0
50.0,Female,PhD,Director of Sales and Marketing,22.0,180000.0
28.0,Female,Bachelor's,Supply Chain Analyst,18.0,186900.0
27.0,Female,Bachelor's,Senior Marketing Specialist,18.0,181600.0
47.0,Male,Master's,Director of Marketing,19.0,170000.0
30.0,Female,Bachelor's,Web Developer,18.0,197800.0
35.0,Female,Master's,Director of Finance,18.0,224600.0
28.0,Female,Bachelor's,Director of Finance,18.0,190700.0
21.0,Female,Bachelor's,Junior Marketing Manager,18.0,159600.0
31.0,Male,Bachelor's,Junior Operations Analyst,3.0,50000.0
27.0,Male,Bachelor's,Office Manager,18.0,184300.0
18.0,Female,Bachelor's,Senior Scientist,21.0,156300.0
50.0,Female,PhD,Sales Operations Manager,19.0,288100.0
29.0,Female,Bachelor's,Junior Designer,2.0,40000.0
28.0,Female,Bachelor's,Junior Operations Manager,1.0,35000.0
43.0,Male,PhD,Data Scientist,18.0,251600.0
18.0,Female,Bachelor's,Junior Project Manager,18.0,149600.0
41.0,Female,Master's,Senior IT Support Specialist,18.0,239500.0
48.0,Female,PhD,Software Project Manager,21.0,286400.0
38.0,Male,Master's,Senior Financial Manager,18.0,235600.0
41.0,Female,Master's,Senior Marketing Manager,13.0,110000.0
41.0,Female,Master's,Senior Business Analyst,18.0,244800.0
32.0,Female,Master's,Director of Finance,18.0,206500.0
49.0,Female,Master's,Director of Marketing,21.0,180000.0
28.0,Female,Bachelor's,Junior Copywriter,18.0,190800.0
27.0,Female,Bachelor's,Director of Operations,18.0,182600.0
35.0,Male,Master's,Junior HR Generalist,18.0,222600.0
36.0,Female,Master's,Director of Engineering,18.0,216100.0
46.0,Male,PhD,Administrative Assistant,19.0,267600.0
40.0,Male,Master's,Senior Financial Manager,18.0,233000.0
41.0,Male,Master's,Senior UX Designer,18.0,242400.0
29.0,Female,Bachelor's,Junior Business Operations Analyst,18.0,194500.0
18.0,Female,Bachelor's,Senior Quality Assurance Analyst,18.0,148600.0
22.0,Female,Bachelor's,Web Developer,18.0,162600.0
18.0,Male,Bachelor's,Senior Financial Advisor,18.0,142300.0
39.0,Female,Master's,Junior Accountant,18.0,239300.0
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0
20.0,Female,Bachelor's,Junior Business Development Associate,18.0,154500.0
46.0,Female,PhD,Sales Operations Manager,18.0,261500.0
27.0,Male,Bachelor's,Director of Operations,18.0,179800.0
34.0,Female,Master's,Director of Marketing,18.0,214800.0
38.0,Female,Bachelor's,Senior Operations Coordinator,9.0,120000.0
45.0,Female,PhD,Senior Marketing Analyst,18.0,255800.0
52.0,Male,PhD,Senior Marketing Manager,24.0,313800.0
42.0,Male,Master's,Project Engineer,14.0,115000.0
32.0,Female,Master's,Product Marketing Manager,18.0,204800.0
27.0,Female,Bachelor's,Administrative Assistant,18.0,182500.0
38.0,Female,Master's,Public Relations Manager,10.0,90000.0
42.0,Male,PhD,Senior Product Marketing Manager,18.0,251500.0
36.0,Male,Master's,Senior Human Resources Coordinator,18.0,213900.0
29.0,Female,Bachelor's,Senior Product Designer,18.0,191000.0
18.0,Male,Bachelor's,Customer Success Manager,18.0,139300.0
33.0,Female,Master's,Senior Operations Coordinator,18.0,203700.0
46.0,Female,PhD,Supply Chain Manager,20.0,273200.0
46.0,Male,PhD,Junior Business Development Associate,21.0,274300.0
54.0,Male,PhD,Junior Marketing Coordinator,29.0,339800.0
29.0,Male,Bachelor's,Customer Success Rep,18.0,191600.0
30.0,Female,Bachelor's,Junior Marketing Coordinator,2.0,40000.0
18.0,Male,Bachelor's,Technical Support Specialist,18.0,148000.0
63.0,Female,PhD,Senior Software Engineer,34.0,393400.0
44.0,Female,PhD,Senior Business Analyst,18.0,260100.0
30.0,Female,Bachelor's,Junior Copywriter,3.0,45000.0
39.0,Male,Master's,Human Resources Director,18.0,236800.0
38.0,Female,Master's,Junior Marketing Coordinator,18.0,229800.0
53.0,Male,PhD,Junior Business Analyst,25.0,321300.0
39.0,Male,Master's,Director of Marketing,18.0,233600.0
33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0
34.0,Male,Master's,Business Development Manager,8.0,90000.0
48.0,Male,PhD,HR Manager,20.0,277900.0
48.0,Male,Master's,Director of Marketing,21.0,180000.0
46.0,Male,PhD,Junior Business Analyst,18.0,261800.0
24.0,Male,Bachelor's,Digital Marketing Manager,18.0,166400.0
35.0,Male,Master's,Junior Web Designer,18.0,211700.0
52.0,Female,PhD,Junior Business Analyst,23.0,307300.0
36.0,Male,Bachelor's,Junior Data Analyst,7.0,60000.0
34.0,Male,Master's,Junior Operations Manager,18.0,207400.0
34.0,Male,Master's,Senior Product Manager,18.0,215000.0
28.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0
18.0,Female,Bachelor's,Senior Account Manager,18.0,146100.0
27.0,Female,Bachelor's,Junior Business Operations Analyst,18.0,182300.0
28.0,Female,Bachelor's,Copywriter,2.0,40000.0
56.0,Female,PhD,Senior Product Development Manager,26.0,336500.0
49.0,Female,PhD,Senior Marketing Analyst,22.0,290300.0
37.0,Male,Master's,Sales Manager,18.0,231200.0
50.0,Female,PhD,Director of Operations,22.0,180000.0
18.0,Male,Bachelor's,Senior Data Engineer,18.0,152500.0
26.0,Female,Bachelor's,CEO,18.0,180100.0
37.0,Male,Master's,Junior Operations Manager,18.0,228400.0
18.0,Male,Bachelor's,Senior Product Designer,18.0,137000.0
43.0,Female,PhD,Senior Product Designer,18.0,140000.0
35.0,Male,Master's,Senior Project Coordinator,18.0,215300.0
58.0,Male,PhD,Senior Financial Analyst,31.0,363800.0
49.0,Female,PhD,Senior Business Analyst,18.0,277000.0
29.0,Female,Bachelor's,Senior Project Coordinator,18.0,187500.0
32.0,Female,Master's,Senior Software Engineer,18.0,206100.0
18.0,Male,Bachelor's,Junior Operations Analyst,18.0,144600.0
30.0,Male,Bachelor's,Director of Marketing,18.0,191300.0
20.0,Female,Bachelor's,Senior Marketing Analyst,18.0,148400.0
33.0,Male,Master's,Senior Operations Manager,7.0,115000.0
18.0,Male,Bachelor's,Social Media Manager,18.0,143900.0
42.0,Male,Master's,Sales Operations Manager,18.0,248300.0
33.0,Female,Master's,Junior Operations Coordinator,18.0,212200.0
29.0,Male,Bachelor's,Junior Sales Representative,18.0,192900.0
35.0,Male,Bachelor's,Senior Marketing Coordinator,7.0,80000.0
43.0,Female,Master's,Senior Marketing Analyst,18.0,247600.0
31.0,Male,Bachelor's,Senior Business Analyst,18.0,195300.0
41.0,Male,Master's,Director of Operations,18.0,242600.0
58.0,Female,PhD,Senior Software Developer,32.0,370700.0
43.0,Female,Master's,Sales Manager,18.0,248800.0
59.0,Female,PhD,Senior Software Engineer,27.0,353000.0
60.0,Female,PhD,Junior Account Manager,33.0,376500.0
36.0,Male,Master's,Project Manager,18.0,226300.0
48.0,Male,PhD,Director of Marketing,24.0,294000.0
20.0,Male,Bachelor's,Customer Service Representative,18.0,156300.0
53.0,Female,PhD,Director of Marketing,28.0,329200.0
39.0,Female,Bachelor's,Marketing Specialist,10.0,65000.0
45.0,Male,PhD,Junior Project Manager,18.0,263600.0
62.0,Male,PhD,Junior Sales Representative,30.0,381200.0
45.0,Male,PhD,Senior Product Manager,18.0,252800.0
37.0,Male,Master's,Senior Software Engineer,18.0,229000.0
31.0,Male,Bachelor's,Junior Operations Analyst,3.0,50000.0
28.0,Male,Bachelor's,Senior Project Manager,18.0,191700.0
24.0,Female,Bachelor's,Junior Developer,18.0,170300.0
35.0,Male,Master's,Network Engineer,18.0,216400.0
36.0,Male,Master's,Junior Social Media Manager,18.0,216600.0
31.0,Male,Master's,Senior HR Generalist,18.0,200200.0
33.0,Male,Master's,Junior Software Developer,18.0,210000.0
45.0,Male,Master's,Senior Software Developer,16.0,140000.0
21.0,Male,Bachelor's,Director of Marketing,18.0,154900.0
55.0,Male,PhD,Senior Business Analyst,23.0,319000.0
46.0,Female,PhD,Senior Software Developer,18.0,264500.0
25.0,Male,Bachelor's,Junior Sales Representative,18.0,177400.0
42.0,Female,Master's,Senior Marketing Manager,18.0,244900.0
39.0,Female,Bachelor's,Training Specialist,12.0,65000.0
38.0,Male,Master's,Director of Engineering,18.0,234000.0
